New York State and Labor Market Regions and Metropolitan Areas
Counties and Municipalities of at Least 25000 Population
Data Source: Local Area Unemployment Statistics Program
New York County 
(Data are not seasonally adjusted. Data are preliminary and subject to revision.) 
UNEMPLOYMENT RATE
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann Avg,
2004,7.5%,7.1%,7.1%,6.2%,6.1%,6.4%,6.2%,5.8%,5.7%,5.7%,5.4%,5.2%,6.2%,
2003,8.3%,8%,7.5%,7.2%,7.2%,7.8%,7.5%,7.4%,7.5%,7.4%,7.4%,6.9%,7.5%,
2002,8%,7.8%,7.8%,7.5%,7.2%,7.5%,7.5%,7.2%,7.2%,7.7%,8%,7.9%,7.6%,
2001,5%,5%,4.9%,4.5%,4.6%,5%,5.3%,5.8%,6.1%,6.9%,7.1%,7.3%,5.6%,
2000,5.6%,5.5%,5.4%,4.8%,4.9%,4.8%,5.1%,5.1%,4.8%,5%,4.9%,4.6%,5%,

1999,6.6%,6.5%,5.8%,5.7%,5.6%,6.1%,6.2%,5.7%,5.9%,5.7%,5.3%,4.9%,5.8%,
1998,7.6%,7.5%,7.2%,5.9%,6.5%,6.8%,6.7%,6.4%,6.6%,6.8%,6.5%,6.3%,6.7%,
1997,8.6%,8.3%,8.3%,7.8%,7.8%,8.2%,8%,7.7%,7.9%,7.5%,7.1%,7.1%,7.9%,
1996,7.3%,7.2%,7.4%,6.7%,7.4%,7.3%,7.7%,7.2%,7.4%,7.5%,7.8%,8%,7.4%,
1995,7.1%,6.7%,6.7%,6.8%,6.8%,7.1%,7.3%,7.1%,7.1%,7%,6.7%,6.8%,6.9%,
1994,9.4%,8.8%,8.3%,7.8%,7.3%,7.4%,7.7%,7.4%,7.1%,7.1%,6.7%,6.2%,7.6%,
1993,10.8%,10.4%,9.2%,8.2%,8.3%,8.6%,8.8%,8.7%,8.3%,9.1%,8.9%,9%,9%,
1992,9.5%,9.6%,8.9%,8.4%,8.9%,9.7%,9.8%,9.6%,9.7%,9.5%,9.7%,10%,9.4%,
1991,7.5%,7.5%,7.3%,7%,7.6%,7.6%,7.6%,7.6%,7.5%,7.8%,8.3%,8.5%,7.7%,
1990,6.6%,6.2%,5.6%,5.2%,5.4%,5.2%,5.8%,5.7%,6.3%,6.5%,6.6%,6.6%,6%,
LABOR FORCE
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann Avg,
2019,914600,919200,921000,913900,911300,911000,912700,908600,,,,,,
2018,914900,927000,924800,917900,914900,918300,924400,914000,914900,921200,917900,919100,919100,
2017,918600,926900,925600,920800,919200,920000,927400,921400,923900,920900,916000,914100,921200,
2016,915500,922800,922800,914400,909600,913200,921500,917800,918900,919700,913900,911300,916800,
2015,910000,913600,910500,908500,911000,908100,913600,908000,903900,910600,909800,911000,909900,
2014,897700,906100,907100,897700,901800,903600,911300,906900,903700,910700,908300,905000,905000,
2013,901000,901800,898700,897800,902300,906800,913800,908200,908100,909000,907200,903600,904900,
2012,887600,895700,894700,888400,895000,897300,899100,893800,895400,901900,893400,897600,895000,
2011,875600,879600,879000,877200,877600,877500,883300,884900,885800,889900,888100,888300,882200,
2010,883100,886700,885900,887900,881900,879000,883900,881400,879200,878100,875500,871700,881200,
2009,932100,937600,933600,928200,929300,932800,944500,938300,928500,929800,925100,919400,931600,
