Unnamed: 0,Month,Unemp_rate,year,rate,model,borough
41,6,5.25,2020,8638.0,clfpoly3,BRONX
42,7,5.17,2020,9324.0,clfpoly3,BRONX
43,8,5.09,2020,9828.0,clfpoly3,BRONX
44,9,5.02,2020,10072.0,clfpoly3,BRONX
45,10,4.94,2020,9953.0,clfpoly3,BRONX
46,11,4.86,2020,9388.0,clfpoly3,BRONX
47,12,4.78,2020,8288.0,clfpoly3,BRONX
48,1,5.31,2021,4755.0,clfpoly3,BRONX
49,2,5.24,2021,5163.0,clfpoly3,BRONX
50,3,5.16,2021,5839.0,clfpoly3,BRONX
51,4,5.08,2021,6674.0,clfpoly3,BRONX
52,5,5.0,2021,7582.0,clfpoly3,BRONX
53,6,4.93,2021,8468.0,clfpoly3,BRONX
54,7,4.85,2021,9259.0,clfpoly3,BRONX
55,8,4.77,2021,9857.0,clfpoly3,BRONX
56,9,4.69,2021,10174.0,clfpoly3,BRONX
57,10,4.61,2021,10123.0,clfpoly3,BRONX
58,11,4.54,2021,9634.0,clfpoly3,BRONX
59,12,4.46,2021,8586.0,clfpoly3,BRONX
60,1,4.99,2022,3976.0,clfpoly3,BRONX
61,2,4.91,2022,4550.0,clfpoly3,BRONX
62,3,4.83,2022,5362.0,clfpoly3,BRONX
63,4,4.76,2022,6309.0,clfpoly3,BRONX
64,5,4.68,2022,7335.0,clfpoly3,BRONX
65,6,4.6,2022,8333.0,clfpoly3,BRONX
66,7,4.52,2022,9215.0,clfpoly3,BRONX
67,8,4.44,2022,9895.0,clfpoly3,BRONX
68,9,4.37,2022,10292.0,clfpoly3,BRONX
69,10,4.29,2022,10305.0,clfpoly3,BRONX
70,11,4.21,2022,9851.0,clfpoly3,BRONX
71,12,4.13,2022,8840.0,clfpoly3,BRONX
0,1,6.9,2017,8463.0,dtc,BRONX
1,2,6.8,2017,7295.0,dtc,BRONX
2,3,6.2,2017,8801.0,dtc,BRONX
3,4,5.8,2017,8578.0,dtc,BRONX
4,5,5.9,2017,9373.0,dtc,BRONX
5,6,6.2,2017,9260.0,dtc,BRONX
6,7,6.9,2017,9686.0,dtc,BRONX
7,8,7.0,2017,9845.0,dtc,BRONX
8,9,6.2,2017,9410.0,dtc,BRONX
9,10,6.0,2017,9638.0,dtc,BRONX
10,11,5.8,2017,8389.0,dtc,BRONX
11,12,5.7,2017,7279.0,dtc,BRONX
12,1,6.4,2018,7265.0,dtc,BRONX
13,2,6.4,2018,6754.0,dtc,BRONX
14,3,6.0,2018,8177.0,dtc,BRONX
15,4,5.3,2018,8481.0,dtc,BRONX
16,5,5.0,2018,9314.0,dtc,BRONX
17,6,5.7,2018,8880.0,dtc,BRONX
18,7,6.1,2018,9689.0,dtc,BRONX
19,8,6.0,2018,10009.0,dtc,BRONX
20,9,5.2,2018,9378.0,dtc,BRONX
21,10,5.3,2018,9092.0,dtc,BRONX
22,11,5.1,2018,8207.0,dtc,BRONX
23,12,5.5,2018,7704.0,dtc,BRONX
24,1,6.6,2019,7265.0,dtc,BRONX
25,2,6.2,2019,6754.0,dtc,BRONX
26,3,5.7,2019,8481.0,dtc,BRONX
27,4,5.0,2019,9314.0,dtc,BRONX
28,5,5.6,2019,8481.0,dtc,BRONX
29,6,5.6,2019,8880.0,dtc,BRONX
30,7,6.1,2019,9689.0,dtc,BRONX
31,8,5.9,2019,8389.0,dtc,BRONX
32,9,5.34,2019,9378.0,dtc,BRONX
33,10,5.26,2019,9092.0,dtc,BRONX
34,11,5.19,2019,8207.0,dtc,BRONX
35,12,5.11,2019,8207.0,dtc,BRONX
36,1,5.64,2020,8481.0,dtc,BRONX
37,2,5.56,2020,8481.0,dtc,BRONX
38,3,5.48,2020,8481.0,dtc,BRONX
39,4,5.41,2020,8481.0,dtc,BRONX
40,5,5.33,2020,8481.0,dtc,BRONX
41,6,5.25,2020,8880.0,dtc,BRONX
42,7,5.17,2020,9378.0,dtc,BRONX
43,8,5.09,2020,9378.0,dtc,BRONX
44,9,5.02,2020,9378.0,dtc,BRONX
45,10,4.94,2020,9092.0,dtc,BRONX
46,11,4.86,2020,8207.0,dtc,BRONX
47,12,4.78,2020,8207.0,dtc,BRONX
48,1,5.31,2021,8481.0,dtc,BRONX
49,2,5.24,2021,8481.0,dtc,BRONX
50,3,5.16,2021,8481.0,dtc,BRONX
51,4,5.08,2021,9314.0,dtc,BRONX
52,5,5.0,2021,9314.0,dtc,BRONX
53,6,4.93,2021,9314.0,dtc,BRONX
54,7,4.85,2021,9378.0,dtc,BRONX
55,8,4.77,2021,9378.0,dtc,BRONX
56,9,4.69,2021,9378.0,dtc,BRONX
57,10,4.61,2021,9092.0,dtc,BRONX
58,11,4.54,2021,8207.0,dtc,BRONX
59,12,4.46,2021,8207.0,dtc,BRONX
60,1,4.99,2022,9314.0,dtc,BRONX
61,2,4.91,2022,9314.0,dtc,BRONX
62,3,4.83,2022,9314.0,dtc,BRONX
63,4,4.76,2022,9314.0,dtc,BRONX
64,5,4.68,2022,9314.0,dtc,BRONX
65,6,4.6,2022,9314.0,dtc,BRONX
66,7,4.52,2022,9378.0,dtc,BRONX
67,8,4.44,2022,9378.0,dtc,BRONX
68,9,4.37,2022,9378.0,dtc,BRONX
69,10,4.29,2022,9092.0,dtc,BRONX
70,11,4.21,2022,8207.0,dtc,BRONX
71,12,4.13,2022,8207.0,dtc,BRONX
0,1,6.9,2017,8463.0,knn,BRONX
1,2,6.8,2017,7295.0,knn,BRONX
2,3,6.2,2017,8801.0,knn,BRONX
3,4,5.8,2017,8578.0,knn,BRONX
4,5,5.9,2017,9373.0,knn,BRONX
5,6,6.2,2017,9260.0,knn,BRONX
6,7,6.9,2017,9686.0,knn,BRONX
7,8,7.0,2017,9845.0,knn,BRONX
8,9,6.2,2017,9410.0,knn,BRONX
9,10,6.0,2017,9638.0,knn,BRONX
10,11,5.8,2017,8389.0,knn,BRONX
11,12,5.7,2017,7279.0,knn,BRONX
12,1,6.4,2018,7265.0,knn,BRONX
13,2,6.4,2018,6754.0,knn,BRONX
14,3,6.0,2018,8177.0,knn,BRONX
15,4,5.3,2018,8481.0,knn,BRONX
16,5,5.0,2018,9314.0,knn,BRONX
17,6,5.7,2018,8880.0,knn,BRONX
18,7,6.1,2018,9689.0,knn,BRONX
19,8,6.0,2018,10009.0,knn,BRONX
20,9,5.2,2018,9378.0,knn,BRONX
21,10,5.3,2018,9092.0,knn,BRONX
22,11,5.1,2018,8207.0,knn,BRONX
23,12,5.5,2018,7704.0,knn,BRONX
24,1,6.6,2019,8250.0,knn,BRONX
25,2,6.2,2019,8250.0,knn,BRONX
26,3,5.7,2019,8250.0,knn,BRONX
27,4,5.0,2019,8731.0,knn,BRONX
28,5,5.6,2019,9024.0,knn,BRONX
29,6,5.6,2019,9312.0,knn,BRONX
30,7,6.1,2019,9484.0,knn,BRONX
31,8,5.9,2019,9489.0,knn,BRONX
32,9,5.34,2019,9136.0,knn,BRONX
33,10,5.26,2019,8880.0,knn,BRONX
34,11,5.19,2019,8895.0,knn,BRONX
35,12,5.11,2019,8895.0,knn,BRONX
36,1,5.64,2020,8250.0,knn,BRONX
37,2,5.56,2020,8250.0,knn,BRONX
38,3,5.48,2020,8292.0,knn,BRONX
39,4,5.41,2020,8731.0,knn,BRONX
40,5,5.33,2020,9056.0,knn,BRONX
41,6,5.25,2020,9265.0,knn,BRONX
42,7,5.17,2020,9363.0,knn,BRONX
43,8,5.09,2020,9351.0,knn,BRONX
44,9,5.02,2020,9040.0,knn,BRONX
45,10,4.94,2020,8880.0,knn,BRONX
46,11,4.86,2020,8880.0,knn,BRONX
47,12,4.78,2020,8895.0,knn,BRONX
48,1,5.31,2021,8250.0,knn,BRONX
49,2,5.24,2021,8201.0,knn,BRONX
50,3,5.16,2021,8292.0,knn,BRONX
51,4,5.08,2021,8531.0,knn,BRONX
52,5,5.0,2021,8852.0,knn,BRONX
53,6,4.93,2021,9114.0,knn,BRONX
54,7,4.85,2021,9316.0,knn,BRONX
55,8,4.77,2021,9346.0,knn,BRONX
56,9,4.69,2021,9040.0,knn,BRONX
57,10,4.61,2021,8880.0,knn,BRONX
58,11,4.54,2021,8880.0,knn,BRONX
59,12,4.46,2021,8880.0,knn,BRONX
60,1,4.99,2022,8201.0,knn,BRONX
61,2,4.91,2022,8201.0,knn,BRONX
62,3,4.83,2022,8292.0,knn,BRONX
63,4,4.76,2022,8531.0,knn,BRONX
64,5,4.68,2022,8852.0,knn,BRONX
65,6,4.6,2022,9114.0,knn,BRONX
66,7,4.52,2022,9316.0,knn,BRONX
67,8,4.44,2022,9346.0,knn,BRONX
68,9,4.37,2022,9040.0,knn,BRONX
69,10,4.29,2022,8880.0,knn,BRONX
70,11,4.21,2022,8880.0,knn,BRONX
71,12,4.13,2022,8880.0,knn,BRONX
0,1,6.9,2017,8463.0,lr,BRONX
1,2,6.8,2017,7295.0,lr,BRONX
2,3,6.2,2017,8801.0,lr,BRONX
3,4,5.8,2017,8578.0,lr,BRONX
4,5,5.9,2017,9373.0,lr,BRONX
5,6,6.2,2017,9260.0,lr,BRONX
6,7,6.9,2017,9686.0,lr,BRONX
7,8,7.0,2017,9845.0,lr,BRONX
8,9,6.2,2017,9410.0,lr,BRONX
9,10,6.0,2017,9638.0,lr,BRONX
10,11,5.8,2017,8389.0,lr,BRONX
11,12,5.7,2017,7279.0,lr,BRONX
12,1,6.4,2018,7265.0,lr,BRONX
13,2,6.4,2018,6754.0,lr,BRONX
14,3,6.0,2018,8177.0,lr,BRONX
15,4,5.3,2018,8481.0,lr,BRONX
16,5,5.0,2018,9314.0,lr,BRONX
17,6,5.7,2018,8880.0,lr,BRONX
18,7,6.1,2018,9689.0,lr,BRONX
19,8,6.0,2018,10009.0,lr,BRONX
20,9,5.2,2018,9378.0,lr,BRONX
21,10,5.3,2018,9092.0,lr,BRONX
22,11,5.1,2018,8207.0,lr,BRONX
23,12,5.5,2018,7704.0,lr,BRONX
24,1,6.6,2019,8463.0,lr,BRONX
25,2,6.2,2019,7265.0,lr,BRONX
26,3,5.7,2019,8481.0,lr,BRONX
27,4,5.0,2019,9314.0,lr,BRONX
28,5,5.6,2019,9314.0,lr,BRONX
29,6,5.6,2019,9314.0,lr,BRONX
30,7,6.1,2019,9686.0,lr,BRONX
31,8,5.9,2019,10009.0,lr,BRONX
32,9,5.34,2019,9378.0,lr,BRONX
33,10,5.26,2019,8207.0,lr,BRONX
34,11,5.19,2019,8207.0,lr,BRONX
35,12,5.11,2019,7704.0,lr,BRONX
36,1,5.64,2020,7265.0,lr,BRONX
37,2,5.56,2020,7265.0,lr,BRONX
38,3,5.48,2020,8481.0,lr,BRONX
39,4,5.41,2020,9314.0,lr,BRONX
40,5,5.33,2020,9314.0,lr,BRONX
41,6,5.25,2020,9314.0,lr,BRONX
42,7,5.17,2020,9314.0,lr,BRONX
43,8,5.09,2020,9378.0,lr,BRONX
44,9,5.02,2020,9378.0,lr,BRONX
45,10,4.94,2020,8207.0,lr,BRONX
46,11,4.86,2020,8207.0,lr,BRONX
