,Month,Unemp_rate,year,rate,model,borough
0,1,5.1,2017,1811.0,clfpoly3,STATEN ISLAND
1,2,5.1,2017,1518.0,clfpoly3,STATEN ISLAND
2,3,4.5,2017,1907.0,clfpoly3,STATEN ISLAND
3,4,4.3,2017,1934.0,clfpoly3,STATEN ISLAND
4,5,4.4,2017,2099.0,clfpoly3,STATEN ISLAND
5,6,4.7,2017,2113.0,clfpoly3,STATEN ISLAND
6,7,5.4,2017,1971.0,clfpoly3,STATEN ISLAND
7,8,5.4,2017,2066.0,clfpoly3,STATEN ISLAND
8,9,4.6,2017,2023.0,clfpoly3,STATEN ISLAND
9,10,4.4,2017,1925.0,clfpoly3,STATEN ISLAND
10,11,4.1,2017,1775.0,clfpoly3,STATEN ISLAND
11,12,4.0,2017,1569.0,clfpoly3,STATEN ISLAND
12,1,4.6,2018,1531.0,clfpoly3,STATEN ISLAND
13,2,4.6,2018,1364.0,clfpoly3,STATEN ISLAND
14,3,4.3,2018,1910.0,clfpoly3,STATEN ISLAND
15,4,3.9,2018,1773.0,clfpoly3,STATEN ISLAND
16,5,3.6,2018,2010.0,clfpoly3,STATEN ISLAND
17,6,4.2,2018,1935.0,clfpoly3,STATEN ISLAND
18,7,4.6,2018,2008.0,clfpoly3,STATEN ISLAND
19,8,4.5,2018,1998.0,clfpoly3,STATEN ISLAND
20,9,3.9,2018,1884.0,clfpoly3,STATEN ISLAND
21,10,3.9,2018,1950.0,clfpoly3,STATEN ISLAND
22,11,3.7,2018,1674.0,clfpoly3,STATEN ISLAND
23,12,3.9,2018,1677.0,clfpoly3,STATEN ISLAND
24,1,4.8,2019,993.0,clfpoly3,STATEN ISLAND
25,2,4.5,2019,1231.0,clfpoly3,STATEN ISLAND
26,3,4.1,2019,1490.0,clfpoly3,STATEN ISLAND
27,4,3.6,2019,1720.0,clfpoly3,STATEN ISLAND
28,5,4.1,2019,1685.0,clfpoly3,STATEN ISLAND
29,6,4.1,2019,1788.0,clfpoly3,STATEN ISLAND
30,7,4.6,2019,1867.0,clfpoly3,STATEN ISLAND
31,8,4.4,2019,1983.0,clfpoly3,STATEN ISLAND
32,9,3.9,2019,1971.0,clfpoly3,STATEN ISLAND
33,10,3.9,2019,1969.0,clfpoly3,STATEN ISLAND
34,11,3.7,2019,1830.0,clfpoly3,STATEN ISLAND
35,12,3.9,2019,1827.0,clfpoly3,STATEN ISLAND
36,1,4.8,2020,586.0,clfpoly3,STATEN ISLAND
37,2,4.5,2020,880.0,clfpoly3,STATEN ISLAND
38,3,4.1,2020,1194.0,clfpoly3,STATEN ISLAND
39,4,3.6,2020,1482.0,clfpoly3,STATEN ISLAND
40,5,4.1,2020,1493.0,clfpoly3,STATEN ISLAND
41,6,4.1,2020,1648.0,clfpoly3,STATEN ISLAND
42,7,4.6,2020,1773.0,clfpoly3,STATEN ISLAND
43,8,4.4,2020,1942.0,clfpoly3,STATEN ISLAND
44,9,3.9,2020,1987.0,clfpoly3,STATEN ISLAND
45,10,3.9,2020,2037.0,clfpoly3,STATEN ISLAND
46,11,3.7,2020,1953.0,clfpoly3,STATEN ISLAND
47,12,3.9,2020,1999.0,clfpoly3,STATEN ISLAND
48,1,4.8,2021,179.0,clfpoly3,STATEN ISLAND
49,2,4.5,2021,528.0,clfpoly3,STATEN ISLAND
50,3,4.1,2021,899.0,clfpoly3,STATEN ISLAND
51,4,3.6,2021,1244.0,clfpoly3,STATEN ISLAND
52,5,4.1,2021,1301.0,clfpoly3,STATEN ISLAND
53,6,4.1,2021,1507.0,clfpoly3,STATEN ISLAND
54,7,4.6,2021,1679.0,clfpoly3,STATEN ISLAND
55,8,4.4,2021,1902.0,clfpoly3,STATEN ISLAND
56,9,3.9,2021,2004.0,clfpoly3,STATEN ISLAND
57,10,3.9,2021,2106.0,clfpoly3,STATEN ISLAND
58,11,3.7,2021,2076.0,clfpoly3,STATEN ISLAND
59,12,3.9,2021,2171.0,clfpoly3,STATEN ISLAND
60,1,4.8,2022,-228.0,clfpoly3,STATEN ISLAND
61,2,4.5,2022,176.0,clfpoly3,STATEN ISLAND
62,3,4.1,2022,603.0,clfpoly3,STATEN ISLAND
63,4,3.6,2022,1005.0,clfpoly3,STATEN ISLAND
64,5,4.1,2022,1109.0,clfpoly3,STATEN ISLAND
65,6,4.1,2022,1367.0,clfpoly3,STATEN ISLAND
66,7,4.6,2022,1585.0,clfpoly3,STATEN ISLAND
67,8,4.4,2022,1862.0,clfpoly3,STATEN ISLAND
68,9,3.9,2022,2021.0,clfpoly3,STATEN ISLAND
69,10,3.9,2022,2175.0,clfpoly3,STATEN ISLAND
70,11,3.7,2022,2198.0,clfpoly3,STATEN ISLAND
71,12,3.9,2022,2344.0,clfpoly3,STATEN ISLAND
