,Month,Unemp_rate,year,rate,model,borough
0,1,4.5,2017,8276.0,clfpoly3,QUEENS
1,2,4.4,2017,7185.0,clfpoly3,QUEENS
2,3,3.9,2017,8306.0,clfpoly3,QUEENS
3,4,3.7,2017,8008.0,clfpoly3,QUEENS
4,5,3.8,2017,9129.0,clfpoly3,QUEENS
5,6,4.0,2017,8713.0,clfpoly3,QUEENS
6,7,4.4,2017,9009.0,clfpoly3,QUEENS
7,8,4.5,2017,9022.0,clfpoly3,QUEENS
8,9,4.0,2017,8576.0,clfpoly3,QUEENS
9,10,3.9,2017,8858.0,clfpoly3,QUEENS
10,11,3.6,2017,7586.0,clfpoly3,QUEENS
11,12,3.5,2017,7420.0,clfpoly3,QUEENS
12,1,4.1,2018,6999.0,clfpoly3,QUEENS
13,2,4.1,2018,6387.0,clfpoly3,QUEENS
14,3,3.8,2018,7468.0,clfpoly3,QUEENS
15,4,3.4,2018,7784.0,clfpoly3,QUEENS
16,5,3.1,2018,8292.0,clfpoly3,QUEENS
17,6,3.7,2018,8186.0,clfpoly3,QUEENS
18,7,3.8,2018,8754.0,clfpoly3,QUEENS
19,8,3.7,2018,8627.0,clfpoly3,QUEENS
20,9,3.3,2018,7987.0,clfpoly3,QUEENS
21,10,3.5,2018,8079.0,clfpoly3,QUEENS
22,11,3.3,2018,7377.0,clfpoly3,QUEENS
23,12,3.5,2018,7043.0,clfpoly3,QUEENS
24,1,4.3,2019,5631.0,clfpoly3,QUEENS
25,2,4.0,2019,5969.0,clfpoly3,QUEENS
26,3,3.7,2019,6499.0,clfpoly3,QUEENS
27,4,3.2,2019,7222.0,clfpoly3,QUEENS
28,5,3.7,2019,7268.0,clfpoly3,QUEENS
29,6,3.7,2019,7633.0,clfpoly3,QUEENS
30,7,3.9,2019,7945.0,clfpoly3,QUEENS
31,8,3.8,2019,8200.0,clfpoly3,QUEENS
32,9,3.3,2019,7925.0,clfpoly3,QUEENS
33,10,3.5,2019,7990.0,clfpoly3,QUEENS
34,11,3.3,2019,7279.0,clfpoly3,QUEENS
35,12,3.5,2019,7141.0,clfpoly3,QUEENS
36,1,4.3,2020,4540.0,clfpoly3,QUEENS
37,2,4.0,2020,4980.0,clfpoly3,QUEENS
38,3,3.7,2020,5613.0,clfpoly3,QUEENS
39,4,3.2,2020,6438.0,clfpoly3,QUEENS
40,5,3.7,2020,6591.0,clfpoly3,QUEENS
41,6,3.7,2020,7060.0,clfpoly3,QUEENS
42,7,3.9,2020,7478.0,clfpoly3,QUEENS
43,8,3.8,2020,7837.0,clfpoly3,QUEENS
44,9,3.3,2020,7662.0,clfpoly3,QUEENS
45,10,3.5,2020,7832.0,clfpoly3,QUEENS
46,11,3.3,2020,7223.0,clfpoly3,QUEENS
47,12,3.5,2020,7192.0,clfpoly3,QUEENS
48,1,4.3,2021,3448.0,clfpoly3,QUEENS
49,2,4.0,2021,3991.0,clfpoly3,QUEENS
50,3,3.7,2021,4727.0,clfpoly3,QUEENS
51,4,3.2,2021,5652.0,clfpoly3,QUEENS
52,5,3.7,2021,5914.0,clfpoly3,QUEENS
53,6,3.7,2021,6487.0,clfpoly3,QUEENS
54,7,3.9,2021,7011.0,clfpoly3,QUEENS
55,8,3.8,2021,7473.0,clfpoly3,QUEENS
56,9,3.3,2021,7398.0,clfpoly3,QUEENS
57,10,3.5,2021,7674.0,clfpoly3,QUEENS
58,11,3.3,2021,7168.0,clfpoly3,QUEENS
59,12,3.5,2021,7242.0,clfpoly3,QUEENS
60,1,4.3,2022,2355.0,clfpoly3,QUEENS
61,2,4.0,2022,3001.0,clfpoly3,QUEENS
62,3,3.7,2022,3840.0,clfpoly3,QUEENS
63,4,3.2,2022,4866.0,clfpoly3,QUEENS
64,5,3.7,2022,5235.0,clfpoly3,QUEENS
65,6,3.7,2022,5913.0,clfpoly3,QUEENS
66,7,3.9,2022,6543.0,clfpoly3,QUEENS
67,8,3.8,2022,7109.0,clfpoly3,QUEENS
68,9,3.3,2022,7134.0,clfpoly3,QUEENS
69,10,3.5,2022,7516.0,clfpoly3,QUEENS
70,11,3.3,2022,7112.0,clfpoly3,QUEENS
71,12,3.5,2022,7292.0,clfpoly3,QUEENS
